time,temperature_2m,relative_humidity_2m,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation,cloud_cover,boundary_layer_height,station,latitude,longitude
2023-01-01 00:00:00,9.5,90,1019.9,994.8,8.9,297,0.0,0,75.0,Faridabad,28.4089,77.3178
2023-01-01 01:00:00,9.2,91,1020.0,994.8,9.2,296,0.0,0,80.0,Faridabad,28.4089,77.3178
2023-01-01 02:00:00,8.6,92,1019.6,994.4,8.0,297,0.0,3,80.0,Faridabad,28.4089,77.3178
2023-01-01 03:00:00,8.3,93,1019.4,994.2,8.4,301,0.0,39,65.0,Faridabad,28.4089,77.3178
2023-01-01 04:00:00,8.2,93,1019.4,994.2,8.6,303,0.0,39,70.0,Faridabad,28.4089,77.3178
2023-01-01 05:00:00,8.5,94,1020.0,994.8,8.1,302,0.0,79,60.0,Faridabad,28.4089,77.3178
2023-01-01 06:00:00,8.4,94,1020.6,995.3,7.6,295,0.0,100,55.0,Faridabad,28.4089,77.3178
2023-01-01 07:00:00,8.8,94,1021.0,995.8,7.6,295,0.0,33,45.0,Faridabad,28.4089,77.3178
2023-01-01 08:00:00,10.1,89,1021.6,996.5,8.8,289,0.0,20,70.0,Faridabad,28.4089,77.3178
2023-01-01 09:00:00,12.5,84,1022.5,997.6,4.7,266,0.0,2,130.0,Faridabad,28.4089,77.3178
2023-01-01 10:00:00,14.9,75,1023.0,998.2,4.0,265,0.0,0,285.0,Faridabad,28.4089,77.3178
2023-01-01 11:00:00,16.6,67,1022.5,997.9,3.6,270,0.0,0,665.0,Faridabad,28.4089,77.3178
2023-01-01 12:00:00,17.6,64,1021.3,996.8,3.6,276,0.0,0,910.0,Faridabad,28.4089,77.3178
2023-01-01 13:00:00,18.2,60,1020.4,996.0,4.6,288,0.0,0,1055.0,Faridabad,28.4089,77.3178
2023-01-01 14:00:00,18.6,57,1019.5,995.1,4.6,309,0.0,1,1150.0,Faridabad,28.4089,77.3178
2023-01-01 15:00:00,18.5,56,1019.1,994.7,4.6,321,0.0,27,1160.0,Faridabad,28.4089,77.3178
2023-01-01 16:00:00,17.7,65,1019.3,994.9,3.7,331,0.0,20,1110.0,Faridabad,28.4089,77.3178
2023-01-01 17:00:00,14.6,75,1020.0,995.3,7.6,5,0.0,88,30.0,Faridabad,28.4089,77.3178
2023-01-01 18:00:00,14.2,74,1020.3,995.5,6.6,29,0.0,35,15.0,Faridabad,28.4089,77.3178
2023-01-01 19:00:00,14.8,70,1020.6,995.9,4.7,32,0.0,24,15.0,Faridabad,28.4089,77.3178
2023-01-01 20:00:00,14.2,71,1021.3,996.5,1.3,236,0.0,0,15.0,Faridabad,28.4089,77.3178
2023-01-01 21:00:00,11.7,82,1021.2,996.2,3.6,233,0.0,0,20.0,Faridabad,28.4089,77.3178
2023-01-01 22:00:00,10.6,85,1021.4,996.3,4.5,256,0.0,0,20.0,Faridabad,28.4089,77.3178
2023-01-01 23:00:00,11.2,81,1021.2,996.2,4.3,265,0.0,0,20.0,Faridabad,28.4089,77.3178
2023-01-02 00:00:00,12.8,74,1021.0,996.1,3.0,284,0.0,0,20.0,Faridabad,28.4089,77.3178
2023-01-02 01:00:00,8.9,89,1020.8,995.6,6.4,344,0.0,0,20.0,Faridabad,28.4089,77.3178
2023-01-02 02:00:00,8.1,93,1020.2,994.9,8.0,342,0.0,0,20.0,Faridabad,28.4089,77.3178
2023-01-02 03:00:00,7.8,94,1020.2,994.9,7.1,319,0.0,0,15.0,Faridabad,28.4089,77.3178
2023-01-02 04:00:00,7.5,95,1019.9,994.6,7.4,321,0.0,0,15.0,Faridabad,28.4089,77.3178
2023-01-02 05:00:00,7.0,95,1020.7,995.3,6.3,301,0.0,0,20.0,Faridabad,28.4089,77.3178
2023-01-02 06:00:00,6.9,96,1021.3,995.9,6.0,287,0.0,0,20.0,Faridabad,28.4089,77.3178
2023-01-02 07:00:00,6.7,96,1022.2,996.8,5.3,298,0.0,0,20.0,Faridabad,28.4089,77.3178
2023-01-02 08:00:00,9.4,90,1022.9,997.7,6.2,306,0.0,0,35.0,Faridabad,28.4089,77.3178
2023-01-02 09:00:00,13.1,80,1023.5,998.6,4.3,318,0.0,0,100.0,Faridabad,28.4089,77.3178
2023-01-02 10:00:00,15.3,73,1023.9,999.2,3.2,333,0.0,0,910.0,Faridabad,28.4089,77.3178
2023-01-02 11:00:00,16.7,65,1023.1,998.5,1.4,360,0.0,0,975.0,Faridabad,28.4089,77.3178
2023-01-02 12:00:00,17.6,59,1022.1,997.6,1.4,360,0.0,0,1040.0,Faridabad,28.4089,77.3178
2023-01-02 13:00:00,18.1,56,1021.1,996.7,2.5,8,0.0,0,1075.0,Faridabad,28.4089,77.3178
2023-01-02 14:00:00,18.4,53,1020.2,995.8,3.3,13,0.0,0,1110.0,Faridabad,28.4089,77.3178
2023-01-02 15:00:00,18.2,53,1019.6,995.2,4.7,32,0.0,0,1055.0,Faridabad,28.4089,77.3178
2023-01-02 16:00:00,17.2,63,1019.8,995.3,3.6,45,0.0,1,1000.0,Faridabad,28.4089,77.3178
2023-01-02 17:00:00,13.4,78,1020.6,995.8,6.7,16,0.0,0,20.0,Faridabad,28.4089,77.3178
2023-01-02 18:00:00,12.1,81,1021.3,996.4,7.3,9,0.0,0,10.0,Faridabad,28.4089,77.3178
2023-01-02 19:00:00,12.8,76,1022.0,997.1,6.5,360,0.0,0,10.0,Faridabad,28.4089,77.3178
2023-01-02 20:00:00,12.7,76,1022.3,997.4,4.3,336,0.0,0,10.0,Faridabad,28.4089,77.3178
2023-01-02 21:00:00,11.9,79,1022.5,997.5,3.8,319,0.0,0,10.0,Faridabad,28.4089,77.3178
2023-01-02 22:00:00,9.2,90,1022.6,997.4,4.9,324,0.0,0,10.0,Faridabad,28.4089,77.3178
2023-01-02 23:00:00,10.2,87,1022.4,997.3,3.6,323,0.0,4,10.0,Faridabad,28.4089,77.3178
2023-01-03 00:00:00,10.5,87,1022.2,997.1,2.7,337,0.0,0,10.0,Faridabad,28.4089,77.3178
2023-01-03 01:00:00,8.1,95,1021.8,996.5,5.1,4,0.0,0,10.0,Faridabad,28.4089,77.3178
2023-01-03 02:00:00,6.8,99,1022.0,996.6,6.6,351,0.0,9,10.0,Faridabad,28.4089,77.3178
2023-01-03 03:00:00,6.5,100,1021.7,996.2,5.6,345,0.0,99,10.0,Faridabad,28.4089,77.3178
2023-01-03 04:00:00,6.3,100,1021.6,996.1,3.2,333,0.0,100,15.0,Faridabad,28.4089,77.3178
2023-01-03 05:00:00,5.9,99,1021.8,996.3,3.8,319,0.0,100,20.0,Faridabad,28.4089,77.3178
2023-01-03 06:00:00,6.6,99,1022.4,996.9,5.9,308,0.0,100,25.0,Faridabad,28.4089,77.3178
2023-01-03 07:00:00,7.0,99,1023.3,997.8,5.8,300,0.0,100,30.0,Faridabad,28.4089,77.3178
2023-01-03 08:00:00,8.1,98,1024.2,998.8,6.0,303,0.0,100,40.0,Faridabad,28.4089,77.3178
2023-01-03 09:00:00,10.0,97,1025.0,999.8,5.2,304,0.0,100,75.0,Faridabad,28.4089,77.3178
2023-01-03 10:00:00,12.2,89,1025.2,1000.2,4.3,312,0.0,0,230.0,Faridabad,28.4089,77.3178
2023-01-03 11:00:00,14.5,75,1024.6,999.8,5.9,317,0.0,0,790.0,Faridabad,28.4089,77.3178
2023-01-03 12:00:00,15.9,65,1023.1,998.4,6.6,319,0.0,0,995.0,Faridabad,28.4089,77.3178
2023-01-03 13:00:00,16.8,59,1022.0,997.4,8.2,322,0.0,0,1075.0,Faridabad,28.4089,77.3178
2023-01-03 14:00:00,17.1,55,1021.1,996.6,8.5,324,0.0,0,1145.0,Faridabad,28.4089,77.3178
2023-01-03 15:00:00,17.0,55,1020.5,996.0,8.9,328,0.0,0,1035.0,Faridabad,28.4089,77.3178
2023-01-03 16:00:00,16.1,60,1020.6,996.0,8.7,330,0.0,0,975.0,Faridabad,28.4089,77.3178
2023-01-03 17:00:00,12.0,81,1021.4,996.4,6.3,329,0.0,0,115.0,Faridabad,28.4089,77.3178
2023-01-03 18:00:00,10.4,88,1022.1,997.0,6.9,317,0.0,0,70.0,Faridabad,28.4089,77.3178
2023-01-03 19:00:00,9.9,90,1022.7,997.5,8.4,313,0.0,0,70.0,Faridabad,28.4089,77.3178
2023-01-03 20:00:00,9.3,91,1022.9,997.7,7.7,323,0.0,0,70.0,Faridabad,28.4089,77.3178
2023-01-03 21:00:00,8.7,92,1023.0,997.7,7.6,329,0.0,0,70.0,Faridabad,28.4089,77.3178
2023-01-03 22:00:00,8.3,93,1023.4,998.1,7.8,326,0.0,0,70.0,Faridabad,28.4089,77.3178
2023-01-03 23:00:00,7.9,94,1023.3,997.9,7.9,321,0.0,0,70.0,Faridabad,28.4089,77.3178
2023-01-04 00:00:00,7.7,96,1022.9,997.5,8.4,313,0.0,0,75.0,Faridabad,28.4089,77.3178
2023-01-04 01:00:00,7.6,96,1022.7,997.3,9.4,310,0.0,0,80.0,Faridabad,28.4089,77.3178
2023-01-04 02:00:00,7.6,97,1022.4,997.0,10.0,311,0.0,0,85.0,Faridabad,28.4089,77.3178
2023-01-04 03:00:00,7.3,97,1022.1,996.7,9.0,307,0.0,0,75.0,Faridabad,28.4089,77.3178
2023-01-04 04:00:00,6.9,99,1022.0,996.6,9.3,306,0.0,4,85.0,Faridabad,28.4089,77.3178
2023-01-04 05:00:00,5.9,99,1022.9,997.4,10.6,305,0.0,100,85.0,Faridabad,28.4089,77.3178
2023-01-04 06:00:00,6.0,100,1023.5,998.0,10.0,311,0.0,100,80.0,Faridabad,28.4089,77.3178
2023-01-04 07:00:00,6.0,100,1024.1,998.5,10.5,311,0.0,100,75.0,Faridabad,28.4089,77.3178
2023-01-04 08:00:00,6.9,98,1025.1,999.6,12.2,317,0.0,100,115.0,Faridabad,28.4089,77.3178
2023-01-04 09:00:00,8.9,92,1025.7,1000.4,12.6,323,0.0,71,185.0,Faridabad,28.4089,77.3178
2023-01-04 10:00:00,11.3,83,1025.6,1000.5,9.3,332,0.0,4,285.0,Faridabad,28.4089,77.3178
2023-01-04 11:00:00,13.3,75,1024.7,999.8,7.9,344,0.0,5,445.0,Faridabad,28.4089,77.3178
2023-01-04 12:00:00,14.9,68,1023.3,998.5,8.0,342,0.0,0,680.0,Faridabad,28.4089,77.3178
2023-01-04 13:00:00,16.1,63,1022.0,997.4,8.3,342,0.0,0,815.0,Faridabad,28.4089,77.3178
2023-01-04 14:00:00,16.8,60,1021.2,996.7,7.6,335,0.0,0,870.0,Faridabad,28.4089,77.3178
2023-01-04 15:00:00,16.9,58,1020.8,996.3,7.7,319,0.0,0,675.0,Faridabad,28.4089,77.3178
2023-01-04 16:00:00,16.1,64,1020.8,996.2,7.4,309,0.0,0,650.0,Faridabad,28.4089,77.3178
2023-01-04 17:00:00,10.9,87,1022.1,997.0,6.7,324,0.0,0,110.0,Faridabad,28.4089,77.3178
2023-01-04 18:00:00,9.7,91,1022.5,997.3,7.0,325,0.0,0,65.0,Faridabad,28.4089,77.3178
2023-01-04 19:00:00,9.1,93,1022.8,997.6,7.5,325,0.0,0,60.0,Faridabad,28.4089,77.3178
2023-01-04 20:00:00,8.7,93,1023.2,997.9,7.7,332,0.0,0,50.0,Faridabad,28.4089,77.3178
2023-01-04 21:00:00,8.0,95,1023.5,998.1,7.0,339,0.0,0,45.0,Faridabad,28.4089,77.3178
2023-01-04 22:00:00,6.7,97,1023.6,998.1,9.5,335,0.0,0,40.0,Faridabad,28.4089,77.3178
2023-01-04 23:00:00,6.2,98,1023.7,998.2,9.0,323,0.0,0,35.0,Faridabad,28.4089,77.3178
2023-01-05 00:00:00,6.0,99,1023.2,997.7,7.7,311,0.0,0,35.0,Faridabad,28.4089,77.3178
2023-01-05 01:00:00,5.9,100,1022.9,997.4,6.5,304,0.0,0,40.0,Faridabad,28.4089,77.3178
2023-01-05 02:00:00,6.1,100,1022.5,997.0,6.8,302,0.0,100,45.0,Faridabad,28.4089,77.3178
2023-01-05 03:00:00,6.3,100,1022.3,996.8,8.3,304,0.0,100,50.0,Faridabad,28.4089,77.3178
2023-01-05 04:00:00,6.3,100,1022.2,996.7,9.4,302,0.0,100,55.0,Faridabad,28.4089,77.3178
2023-01-05 05:00:00,5.8,99,1023.1,997.6,9.0,307,0.0,100,70.0,Faridabad,28.4089,77.3178
2023-01-05 06:00:00,6.2,99,1023.8,998.3,8.5,298,0.0,100,90.0,Faridabad,28.4089,77.3178
2023-01-05 07:00:00,6.5,100,1024.6,999.1,8.5,298,0.0,100,105.0,Faridabad,28.4089,77.3178
2023-01-05 08:00:00,7.1,98,1025.4,999.9,7.4,299,0.0,100,140.0,Faridabad,28.4089,77.3178
2023-01-05 09:00:00,8.2,97,1026.5,1001.1,6.6,292,0.0,100,140.0,Faridabad,28.4089,77.3178
2023-01-05 10:00:00,9.6,94,1026.6,1001.3,6.9,279,0.0,100,140.0,Faridabad,28.4089,77.3178
2023-01-05 11:00:00,12.1,80,1026.1,1001.0,5.8,277,0.0,20,275.0,Faridabad,28.4089,77.3178
2023-01-05 12:00:00,13.9,74,1024.8,999.9,6.2,291,0.0,5,345.0,Faridabad,28.4089,77.3178
2023-01-05 13:00:00,15.3,67,1023.6,998.9,7.1,311,0.0,1,405.0,Faridabad,28.4089,77.3178
2023-01-05 14:00:00,16.0,63,1022.5,997.9,7.9,321,0.0,0,475.0,Faridabad,28.4089,77.3178
2023-01-05 15:00:00,16.1,62,1022.0,997.4,8.2,322,0.0,0,500.0,Faridabad,28.4089,77.3178
2023-01-05 16:00:00,15.3,67,1022.0,997.3,6.7,324,0.0,0,490.0,Faridabad,28.4089,77.3178
2023-01-05 17:00:00,11.5,82,1023.5,998.4,6.2,10,0.0,0,80.0,Faridabad,28.4089,77.3178
2023-01-05 18:00:00,9.2,89,1024.0,998.7,8.3,2,0.0,0,40.0,Faridabad,28.4089,77.3178
2023-01-05 19:00:00,7.9,95,1024.4,999.0,9.5,351,0.0,0,35.0,Faridabad,28.4089,77.3178
2023-01-05 20:00:00,7.2,97,1025.1,999.6,8.0,333,0.0,0,30.0,Faridabad,28.4089,77.3178
2023-01-05 21:00:00,6.8,97,1025.2,999.7,7.4,321,0.0,0,30.0,Faridabad,28.4089,77.3178
2023-01-05 22:00:00,6.4,98,1025.4,999.8,8.6,327,0.0,0,30.0,Faridabad,28.4089,77.3178
2023-01-05 23:00:00,6.5,98,1025.1,999.6,7.2,333,0.0,5,35.0,Faridabad,28.4089,77.3178
2023-01-06 00:00:00,5.9,99,1024.7,999.1,7.0,339,0.0,37,40.0,Faridabad,28.4089,77.3178
2023-01-06 01:00:00,5.2,100,1024.3,998.7,6.4,322,0.0,100,40.0,Faridabad,28.4089,77.3178
2023-01-06 02:00:00,5.1,100,1023.7,998.1,4.9,306,0.0,100,35.0,Faridabad,28.4089,77.3178
2023-01-06 03:00:00,5.4,100,1023.1,997.5,5.3,298,0.0,100,15.0,Faridabad,28.4089,77.3178
2023-01-06 04:00:00,5.1,100,1022.7,997.1,6.4,286,0.0,100,30.0,Faridabad,28.4089,77.3178
2023-01-06 05:00:00,6.5,97,1024.4,998.9,4.7,328,0.0,100,45.0,Faridabad,28.4089,77.3178
2023-01-06 06:00:00,7.2,99,1024.7,999.2,5.1,315,0.0,100,40.0,Faridabad,28.4089,77.3178
2023-01-06 07:00:00,7.3,98,1025.5,1000.0,6.5,304,0.0,100,40.0,Faridabad,28.4089,77.3178
2023-01-06 08:00:00,7.7,92,1026.5,1001.0,6.1,310,0.0,100,35.0,Faridabad,28.4089,77.3178
2023-01-06 09:00:00,8.3,87,1027.2,1001.8,5.2,304,0.0,90,80.0,Faridabad,28.4089,77.3178
2023-01-06 10:00:00,9.4,80,1027.8,1002.5,5.6,285,0.0,75,90.0,Faridabad,28.4089,77.3178
2023-01-06 11:00:00,10.9,77,1027.2,1002.0,4.2,290,0.0,58,215.0,Faridabad,28.4089,77.3178
2023-01-06 12:00:00,12.4,72,1026.0,1001.0,5.1,278,0.0,95,375.0,Faridabad,28.4089,77.3178
2023-01-06 13:00:00,13.6,69,1024.6,999.7,4.2,290,0.0,89,405.0,Faridabad,28.4089,77.3178
2023-01-06 14:00:00,14.5,67,1023.8,999.0,4.4,305,0.0,99,445.0,Faridabad,28.4089,77.3178
2023-01-06 15:00:00,14.7,67,1023.1,998.3,4.8,312,0.0,97,450.0,Faridabad,28.4089,77.3178
2023-01-06 16:00:00,14.1,69,1023.0,998.2,5.9,322,0.0,100,445.0,Faridabad,28.4089,77.3178
2023-01-06 17:00:00,10.6,84,1023.4,998.3,7.1,345,0.0,63,125.0,Faridabad,28.4089,77.3178
2023-01-06 18:00:00,8.7,89,1023.9,998.6,7.9,330,0.0,1,60.0,Faridabad,28.4089,77.3178
2023-01-06 19:00:00,7.8,91,1024.2,998.8,7.4,317,0.0,0,50.0,Faridabad,28.4089,77.3178
2023-01-06 20:00:00,7.6,94,1024.9,999.5,7.1,315,0.0,0,45.0,Faridabad,28.4089,77.3178
2023-01-06 21:00:00,6.0,97,1024.7,999.1,10.2,328,0.0,0,45.0,Faridabad,28.4089,77.3178
2023-01-06 22:00:00,5.9,97,1025.0,999.4,7.6,329,0.0,0,40.0,Faridabad,28.4089,77.3178
2023-01-06 23:00:00,5.6,97,1024.8,999.2,7.6,335,0.0,0,40.0,Faridabad,28.4089,77.3178
2023-01-07 00:00:00,4.7,99,1024.1,998.4,8.9,328,0.0,0,45.0,Faridabad,28.4089,77.3178
2023-01-07 01:00:00,4.2,100,1023.6,997.9,7.8,326,0.0,100,40.0,Faridabad,28.4089,77.3178
2023-01-07 02:00:00,4.9,100,1022.9,997.3,6.4,322,0.0,100,40.0,Faridabad,28.4089,77.3178
2023-01-07 03:00:00,4.7,100,1022.5,996.9,8.8,305,0.0,100,30.0,Faridabad,28.4089,77.3178
2023-01-07 04:00:00,4.6,100,1022.1,996.5,8.3,288,0.0,100,35.0,Faridabad,28.4089,77.3178
2023-01-07 05:00:00,4.4,99,1023.0,997.3,10.0,300,0.0,100,50.0,Faridabad,28.4089,77.3178
2023-01-07 06:00:00,5.1,100,1023.7,998.1,12.0,286,0.0,100,80.0,Faridabad,28.4089,77.3178
2023-01-07 07:00:00,5.4,100,1024.4,998.8,12.2,298,0.0,100,130.0,Faridabad,28.4089,77.3178
2023-01-07 08:00:00,5.8,99,1025.0,999.4,13.8,303,0.0,100,160.0,Faridabad,28.4089,77.3178
2023-01-07 09:00:00,7.1,90,1025.4,999.9,12.4,300,0.0,85,205.0,Faridabad,28.4089,77.3178
2023-01-07 10:00:00,9.4,83,1025.4,1000.1,8.9,302,0.0,48,220.0,Faridabad,28.4089,77.3178
2023-01-07 11:00:00,11.5,76,1024.5,999.4,8.5,306,0.0,16,265.0,Faridabad,28.4089,77.3178
2023-01-07 12:00:00,13.3,70,1023.3,998.4,8.6,303,0.0,18,340.0,Faridabad,28.4089,77.3178
2023-01-07 13:00:00,14.8,64,1021.8,997.1,7.8,304,0.0,2,410.0,Faridabad,28.4089,77.3178
2023-01-07 14:00:00,15.7,61,1020.8,996.2,7.1,311,0.0,0,465.0,Faridabad,28.4089,77.3178
2023-01-07 15:00:00,15.9,61,1019.9,995.3,6.7,306,0.0,0,455.0,Faridabad,28.4089,77.3178
2023-01-07 16:00:00,15.3,66,1019.7,995.1,5.8,292,0.0,0,410.0,Faridabad,28.4089,77.3178
2023-01-07 17:00:00,10.6,81,1020.5,995.4,8.4,329,0.0,0,90.0,Faridabad,28.4089,77.3178
2023-01-07 18:00:00,8.9,88,1021.2,996.0,8.7,315,0.0,36,45.0,Faridabad,28.4089,77.3178
2023-01-07 19:00:00,8.6,89,1021.9,996.6,7.5,305,0.0,0,40.0,Faridabad,28.4089,77.3178
2023-01-07 20:00:00,8.1,90,1022.0,996.7,8.1,302,0.0,1,45.0,Faridabad,28.4089,77.3178
2023-01-07 21:00:00,7.9,90,1022.3,997.0,8.7,312,0.0,8,55.0,Faridabad,28.4089,77.3178
2023-01-07 22:00:00,7.7,91,1022.3,996.9,9.2,312,0.0,0,60.0,Faridabad,28.4089,77.3178
2023-01-07 23:00:00,7.3,93,1021.6,996.2,8.9,310,0.0,0,60.0,Faridabad,28.4089,77.3178
2023-01-08 00:00:00,7.0,94,1020.9,995.5,9.0,307,0.0,0,60.0,Faridabad,28.4089,77.3178
2023-01-08 01:00:00,6.7,95,1020.2,994.8,8.3,304,0.0,0,55.0,Faridabad,28.4089,77.3178
2023-01-08 02:00:00,6.4,96,1019.4,994.0,8.2,299,0.0,0,60.0,Faridabad,28.4089,77.3178
2023-01-08 03:00:00,6.4,96,1019.0,993.6,9.0,293,0.0,30,70.0,Faridabad,28.4089,77.3178
2023-01-08 04:00:00,6.5,96,1018.7,993.3,10.7,290,0.0,5,80.0,Faridabad,28.4089,77.3178
2023-01-08 05:00:00,6.3,99,1019.6,994.2,12.8,310,0.0,43,95.0,Faridabad,28.4089,77.3178
2023-01-08 06:00:00,6.5,100,1020.1,994.7,13.6,307,0.0,100,105.0,Faridabad,28.4089,77.3178
2023-01-08 07:00:00,6.7,100,1020.7,995.3,13.1,302,0.0,100,120.0,Faridabad,28.4089,77.3178
2023-01-08 08:00:00,7.5,99,1021.2,995.8,13.5,299,0.0,100,150.0,Faridabad,28.4089,77.3178
2023-01-08 09:00:00,8.5,95,1021.8,996.5,13.2,296,0.0,100,190.0,Faridabad,28.4089,77.3178
2023-01-08 10:00:00,10.7,87,1022.1,997.0,9.8,298,0.0,25,245.0,Faridabad,28.4089,77.3178
2023-01-08 11:00:00,12.9,80,1021.3,996.4,8.4,301,0.0,38,305.0,Faridabad,28.4089,77.3178
2023-01-08 12:00:00,14.8,72,1020.0,995.3,8.2,299,0.0,31,375.0,Faridabad,28.4089,77.3178
2023-01-08 13:00:00,16.4,66,1018.8,994.3,8.6,303,0.0,0,435.0,Faridabad,28.4089,77.3178
2023-01-08 14:00:00,17.3,63,1017.9,993.5,7.9,300,0.0,0,480.0,Faridabad,28.4089,77.3178
2023-01-08 15:00:00,17.5,63,1017.6,993.2,8.4,277,0.0,7,455.0,Faridabad,28.4089,77.3178
2023-01-08 16:00:00,16.8,68,1017.8,993.3,8.3,268,0.0,0,395.0,Faridabad,28.4089,77.3178
2023-01-08 17:00:00,12.5,84,1018.1,993.3,8.4,280,0.0,0,80.0,Faridabad,28.4089,77.3178
2023-01-08 18:00:00,10.7,88,1018.8,993.8,8.2,322,0.0,0,35.0,Faridabad,28.4089,77.3178
2023-01-08 19:00:00,9.2,93,1019.5,994.3,9.2,349,0.0,0,30.0,Faridabad,28.4089,77.3178
2023-01-08 20:00:00,8.3,96,1020.1,994.8,10.1,360,0.0,0,30.0,Faridabad,28.4089,77.3178
2023-01-08 21:00:00,8.0,97,1020.3,995.0,8.2,345,0.0,0,20.0,Faridabad,28.4089,77.3178
2023-01-08 22:00:00,7.9,97,1020.3,995.0,5.9,317,0.0,0,15.0,Faridabad,28.4089,77.3178
2023-01-08 23:00:00,7.7,96,1020.3,995.0,5.2,295,0.0,0,15.0,Faridabad,28.4089,77.3178
2023-01-09 00:00:00,8.2,93,1019.8,994.5,5.1,309,0.0,0,15.0,Faridabad,28.4089,77.3178
2023-01-09 01:00:00,7.9,93,1019.5,994.2,5.6,310,0.0,0,15.0,Faridabad,28.4089,77.3178
2023-01-09 02:00:00,6.7,96,1019.3,993.9,6.6,299,0.0,0,15.0,Faridabad,28.4089,77.3178
2023-01-09 03:00:00,6.8,96,1018.7,993.3,5.4,312,0.0,94,15.0,Faridabad,28.4089,77.3178
2023-01-09 04:00:00,6.1,100,1018.7,993.3,4.6,309,0.0,100,15.0,Faridabad,28.4089,77.3178
2023-01-09 05:00:00,6.5,100,1020.2,994.8,6.0,303,0.0,100,20.0,Faridabad,28.4089,77.3178
2023-01-09 06:00:00,6.9,100,1021.0,995.6,5.2,295,0.0,100,35.0,Faridabad,28.4089,77.3178
2023-01-09 07:00:00,7.3,100,1021.8,996.4,5.3,298,0.0,100,50.0,Faridabad,28.4089,77.3178
2023-01-09 08:00:00,8.5,99,1022.5,997.2,4.7,302,0.0,100,50.0,Faridabad,28.4089,77.3178
2023-01-09 09:00:00,9.7,97,1023.3,998.1,4.1,322,0.0,100,65.0,Faridabad,28.4089,77.3178
2023-01-09 10:00:00,11.7,92,1023.5,998.5,2.7,337,0.0,97,110.0,Faridabad,28.4089,77.3178
2023-01-09 11:00:00,14.4,81,1022.6,997.8,2.8,320,0.0,64,200.0,Faridabad,28.4089,77.3178
2023-01-09 12:00:00,16.7,72,1021.3,996.7,4.1,322,0.0,100,325.0,Faridabad,28.4089,77.3178
2023-01-09 13:00:00,18.1,62,1020.2,995.8,6.2,324,0.0,99,425.0,Faridabad,28.4089,77.3178
2023-01-09 14:00:00,18.3,59,1019.3,994.9,6.0,327,0.0,100,465.0,Faridabad,28.4089,77.3178
2023-01-09 15:00:00,18.4,57,1019.0,994.6,4.8,333,0.0,100,425.0,Faridabad,28.4089,77.3178
2023-01-09 16:00:00,17.5,68,1019.0,994.6,3.2,333,0.0,100,315.0,Faridabad,28.4089,77.3178
2023-01-09 17:00:00,14.4,82,1019.2,994.5,7.0,348,0.0,100,60.0,Faridabad,28.4089,77.3178
2023-01-09 18:00:00,12.6,89,1019.5,994.6,8.1,347,0.0,100,35.0,Faridabad,28.4089,77.3178
2023-01-09 19:00:00,12.1,91,1020.0,995.1,7.5,343,0.0,100,30.0,Faridabad,28.4089,77.3178
2023-01-09 20:00:00,11.6,92,1020.4,995.4,6.6,331,0.0,100,30.0,Faridabad,28.4089,77.3178
2023-01-09 21:00:00,10.9,94,1020.5,995.5,6.1,315,0.0,100,25.0,Faridabad,28.4089,77.3178
2023-01-09 22:00:00,11.2,94,1020.6,995.6,4.5,299,0.0,91,25.0,Faridabad,28.4089,77.3178
2023-01-09 23:00:00,10.4,95,1020.6,995.5,6.3,294,0.0,100,25.0,Faridabad,28.4089,77.3178
2023-01-10 00:00:00,10.0,95,1019.9,994.8,6.2,291,0.0,93,30.0,Faridabad,28.4089,77.3178
2023-01-10 01:00:00,9.6,96,1019.7,994.6,7.1,311,0.0,98,35.0,Faridabad,28.4089,77.3178
2023-01-10 02:00:00,9.8,97,1019.4,994.3,8.9,317,0.0,100,40.0,Faridabad,28.4089,77.3178
2023-01-10 03:00:00,10.0,97,1019.2,994.1,9.4,317,0.0,99,45.0,Faridabad,28.4089,77.3178
2023-01-10 04:00:00,10.0,96,1019.1,994.0,9.7,318,0.0,100,45.0,Faridabad,28.4089,77.3178
2023-01-10 05:00:00,8.0,100,1020.3,995.0,9.9,316,0.0,13,40.0,Faridabad,28.4089,77.3178
2023-01-10 06:00:00,8.3,100,1020.7,995.4,9.9,314,0.0,100,50.0,Faridabad,28.4089,77.3178
2023-01-10 07:00:00,8.3,100,1021.1,995.8,9.2,312,0.0,100,55.0,Faridabad,28.4089,77.3178
2023-01-10 08:00:00,9.1,99,1021.6,996.4,10.0,308,0.0,100,75.0,Faridabad,28.4089,77.3178
2023-01-10 09:00:00,10.5,98,1022.5,997.4,11.5,302,0.0,100,120.0,Faridabad,28.4089,77.3178
2023-01-10 10:00:00,11.4,96,1022.0,997.0,7.9,313,0.0,100,205.0,Faridabad,28.4089,77.3178
2023-01-10 11:00:00,14.2,86,1021.2,996.4,7.4,293,0.0,96,330.0,Faridabad,28.4089,77.3178
2023-01-10 12:00:00,16.5,75,1019.7,995.2,8.7,287,0.0,61,450.0,Faridabad,28.4089,77.3178
2023-01-10 13:00:00,18.1,66,1018.6,994.2,11.8,290,0.0,1,540.0,Faridabad,28.4089,77.3178
2023-01-10 14:00:00,18.8,63,1017.6,993.3,14.0,293,0.0,0,585.0,Faridabad,28.4089,77.3178
